time,x,y,z,xvalue,yvalue,zvalue
0,-3.94737,-3.94737,0,0,0,7.92132e-08
0,-3.94737,-3.42105,0,0,0,5.21741e-08
0,-3.94737,-2.89474,0,0,0,1.74749e-08
0,-3.94737,-2.36842,0,-0,0,-1.43373e-08
0,-3.94737,-1.84211,0,-0,0,-3.95578e-08
0,-3.94737,-1.31579,0,-0,0,-5.81696e-08
0,-3.94737,-0.789474,0,0,-0,-7.16363e-08
0,-3.94737,-0.263158,0,0,0,-8.13912e-08
0,-3.94737,0.263158,0,0,0,-8.8724e-08
0,-3.94737,0.789474,0,0,0,-9.47395e-08
0,-3.94737,1.31579,0,0,0,-9.97663e-08
0,-3.94737,1.84211,0,0,0,-1.03864e-07
0,-3.94737,2.36842,0,0,0,-1.066e-07
0,-3.94737,2.89474,0,0,0,-1.07065e-07
0,-3.94737,3.42105,0,0,0,-1.04143e-07
0,-3.94737,3.94737,0,0,0,-9.64837e-08
0,-3.94737,4.47368,0,0,0,-8.252e-08
0,-3.94737,5,0,0,0,-6.07997e-08
0,-3.42105,-5,0,0,0,7.33289e-08
0,-3.42105,-4.47368,0,0,0,8.31701e-08
0,-3.42105,-3.94737,0,0,0,6.4728e-08
0,-3.42105,-3.42105,0,0,0,3.02329e-08
0,-3.42105,-2.89474,0,-0,0,-5.11138e-09
0,-3.42105,-2.36842,0,-0,0,-3.38026e-08
0,-3.42105,-1.84211,0,-0,0,-5.46551e-08
0,-3.42105,-1.31579,0,-0,0,-6.88431e-08
0,-3.42105,-0.789474,0,0,-0,-7.83568e-08
0,-3.42105,-0.263158,0,0,0,-8.49698e-08
0,-3.42105,0.263158,0,0,0,-9.03124e-08
0,-3.42105,0.789474,0,0,0,-9.54385e-08
0,-3.42105,1.31579,0,0,0,-1.00821e-07
0,-3.42105,1.84211,0,0,0,-1.06394e-07
0,-3.42105,2.36842,0,0,0,-1.11712e-07
0,-3.42105,2.89474,0,0,0,-1.15808e-07
0,-3.42105,3.42105,0,0,0,-1.17368e-07
0,-3.42105,3.94737,0,0,0,-1.14883e-07
0,-3.42105,4.47368,0,0,0,-1.06708e-07
0,-3.42105,5,0,0,0,-9.08976e-08
0,-2.89474,-5,0,0,0,7.78666e-08
0,-2.89474,-4.47368,0,0,0,7.71402e-08
0,-2.89474,-3.94737,0,0,0,4.9964e-08
0,-2.89474,-3.42105,0,0,0,1.2752e-08
0,-2.89474,-2.89474,0,-0,0,-2.06078e-08
0,-2.89474,-2.36842,0,-0,0,-4.52316e-08
0,-2.89474,-1.84211,0,-0,0,-6.15135e-08
0,-2.89474,-1.31579,0,-0,0,-7.12756e-08
0,-2.89474,-0.789474,0,-0,0,-7.68998e-08
0,-2.89474,-0.263158,0,0,0,-8.0529e-08
0,-2.89474,0.263158,0,0,0,-8.38131e-08
0,-2.89474,0.789474,0,0,0,-8.80127e-08
0,-2.89474,1.31579,0,0,0,-9.36876e-08
0,-2.89474,1.84211,0,0,0,-1.00827e-07
0,-2.89474,2.36842,0,0,0,-1.08708e-07
0,-2.89474,2.89474,0,0,0,-1.16352e-07
0,-2.89474,3.42105,0,0,0,-1.22261e-07
0,-2.89474,3.94737,0,0,0,-1.24862e-07
0,-2.89474,4.47368,0,0,0,-1.22183e-07
0,-2.89474,5,0,0,0,-1.12328e-07
0,-2.36842,-5,0,0,0,7.84585e-08
0,-2.36842,-4.47368,0,0,0,7.01169e-08
0,-2.36842,-3.94737,0,0,0,3.82299e-08
0,-2.36842,-3.42105,0,-0,0,1.04444e-09
0,-2.36842,-2.89474,0,-0,0,-2.93469e-08
0,-2.36842,-2.36842,0,-0,0,-5.00168e-08
0,-2.36842,-1.84211,0,-0,0,-6.19949e-08
0,-2.36842,-1.31579,0,-0,0,-6.76751e-08
0,-2.36842,-0.789474,0,-0,0,-6.96658e-08
0,-2.36842,-0.263158,0,0,0,-7.03587e-08
0,-2.36842,0.263158,0,0,0,-7.16332e-08
0,-2.36842,0.789474,0,0,0,-7.49172e-08
0,-2.36842,1.31579,0,0,0,-8.0829e-08
0,-2.36842,1.84211,0,0,0,-8.94121e-08
0,-2.36842,2.36842,0,0,0,-9.98429e-08
