time,x,y,z,value
0,0.833333,-5,0,-1.03888e-13
0,0.833333,-4.58333,0,-1.20821e-13
0,0.833333,-4.16667,0,-1.47004e-13
0,0.833333,-3.75,0,-1.9007e-13
0,0.833333,-3.33333,0,-2.67475e-13
0,0.833333,-2.91667,0,-4.1671e-13
0,0.833333,-2.5,0,-6.42803e-13
0,0.833333,-2.08333,0,-7.89131e-13
0,0.833333,-1.66667,0,-9.2201e-13
0,0.833333,-1.25,0,-1.23247e-12
0,0.833333,-0.833333,0,-1.98229e-12
0,0.833333,-0.416667,0,-2.72296e-12
0,0.833333,0,0,-1.91098e-12
0,0.833333,0.416667,0,-8.71771e-13
0,0.833333,0.833333,0,-4.62523e-13
0,0.833333,1.25,0,-3.02577e-13
0,0.833333,1.66667,0,-2.24229e-13
0,0.833333,2.08333,0,-1.79674e-13
0,0.833333,2.5,0,-1.52028e-13
0,0.833333,2.91667,0,-1.34137e-13
0,0.833333,3.33333,0,-1.22615e-13
0,0.833333,3.75,0,-1.15833e-13
0,0.833333,4.16667,0,-1.1319e-13
0,0.833333,4.58333,0,-1.14976e-13
0,0.833333,5,0,-1.18038e-13
0,1.25,-5,0,-1.001e-13
0,1.25,-4.58333,0,-1.14092e-13
0,1.25,-4.16667,0,-1.34775e-13
0,1.25,-3.75,0,-1.66463e-13
0,1.25,-3.33333,0,-2.17754e-13
0,1.25,-2.91667,0,-3.06167e-13
0,1.25,-2.5,0,-4.60402e-13
0,1.25,-2.08333,0,-6.75434e-13
0,1.25,-1.66667,0,-8.67698e-13
0,1.25,-1.25,0,-1.05175e-12
0,1.25,-0.833333,0,-1.25533e-12
0,1.25,-0.416667,0,-1.3159e-12
0,1.25,0,0,-1.00756e-12
0,1.25,0.416667,0,-5.98969e-13
0,1.25,0.833333,0,-3.77243e-13
0,1.25,1.25,0,-2.67214e-13
0,1.25,1.66667,0,-2.06338e-13
0,1.25,2.08333,0,-1.69337e-13
0,1.25,2.5,0,-1.45468e-13
0,1.25,2.91667,0,-1.29672e-13
0,1.25,3.33333,0,-1.19404e-13
0,1.25,3.75,0,-1.13416e-13
0,1.25,4.16667,0,-1.11298e-13
0,1.25,4.58333,0,-1.13442e-13
0,1.25,5,0,-1.08516e-13
0,1.66667,-5,0,-9.62012e-14
0,1.66667,-4.58333,0,-1.07436e-13
0,1.66667,-4.16667,0,-1.23379e-13
0,1.66667,-3.75,0,-1.46279e-13
0,1.66667,-3.33333,0,-1.79965e-13
0,1.66667,-2.91667,0,-2.30889e-13
0,1.66667,-2.5,0,-3.08882e-13
0,1.66667,-2.08333,0,-4.23242e-13
0,1.66667,-1.66667,0,-5.65129e-13
0,1.66667,-1.25,0,-6.93007e-13
0,1.66667,-0.833333,0,-7.52905e-13
0,1.66667,-0.416667,0,-6.9615e-13
0,1.66667,0,0,-5.43676e-13
0,1.66667,0.416667,0,-3.94302e-13
0,1.66667,0.833333,0,-2.91691e-13
0,1.66667,1.25,0,-2.26535e-13
0,1.66667,1.66667,0,-1.84481e-13
0,1.66667,2.08333,0,-1.56445e-13
0,1.66667,2.5,0,-1.37326e-13
0,1.66667,2.91667,0,-1.24274e-13
0,1.66667,3.33333,0,-1.15717e-13
0,1.66667,3.75,0,-1.10881e-13
0,1.66667,4.16667,0,-1.09617e-13
0,1.66667,4.58333,0,-1.12495e-13
0,1.66667,5,0,-9.93436e-14
0,2.08333,-5,0,-9.25104e-14
0,2.08333,-4.58333,0,-1.01293e-13
0,2.08333,-4.16667,0,-1.13363e-13
0,2.08333,-3.75,0,-1.29793e-13
0,2.08333,-3.33333,0,-1.5214e-13
0,2.08333,-2.91667,0,-1.82459e-13
0,2.08333,-2.5,0,-2.22913e-13
0,2.08333,-2.08333,0,-2.7411e-13
0,2.08333,-1.66667,0,-3.31243e-13
0,2.08333,-1.25,0,-3.79907e-13
0,2.08333,-0.833333,0,-3.99573e-13
0,2.08333,-0.416667,0,-3.79375e-13
0,2.08333,0,0,-3.30589e-13
0,2.08333,0.416667,0,-2.75276e-13
0,2.08333,0.833333,0,-2.27437e-13
0,2.08333,1.25,0,-1.90487e-13
0,2.08333,1.66667,0,-1.63115e-13
0,2.08333,2.08333,0,-1.43128e-13
0,2.08333,2.5,0,-1.28694e-13
0,2.08333,2.91667,0,-1.18546e-13
0,2.08333,3.33333,0,-1.11911e-13
0,2.08333,3.75,0,-1.08458e-13
0,2.08333,4.16667,0,-1.08317e-13
0,2.08333,4.58333,0,-1.12287e-13
0,2.08333,5,0,-9.10442e-14
0,2.5,-5,0,-8.92773e-14
0,2.5,-4.58333,0,-9.59421e-14
0,2.5,-4.16667,0,-1.04929e-13
0,2.5,-3.75,0,-1.16683e-13
0,2.5,-3.33333,0,-1.31745e-13
0,2.5,-2.91667,0,-1.50608e-13
0,2.5,-2.5,0,-1.73376e-13
0,2.5,-2.08333,0,-2.01549e-13
0,2.5,-1.66667,0,-2.22015e-13
0,2.5,-1.25,0,-2.35672e-13
0,2.5,-0.833333,0,-2.38114e-13
0,2.5,-0.416667,0,-2.28352e-13
0,2.5,0,0,-2.09757e-13
0,2.5,0.416667,0,-1.87627e-13
0,2.5,0.833333,0,-1.66184e-13
0,2.5,1.25,0,-1.47566e-13
0,2.5,1.66667,0,-1.32374e-13
0,2.5,2.08333,0,-1.20475e-13
0,2.5,2.5,0,-1.11516e-13
0,2.5,2.91667,0,-1.05179e-13
0,2.5,3.33333,0,-1.01291e-13
0,2.5,3.75,0,-9.99113e-14
0,2.5,4.16667,0,-1.01451e-13
0,2.5,4.58333,0,-9.01305e-14
0,2.5,5,0,-8.87042e-14
0,2.91667,-5,0,-9.3004e-14
0,2.91667,-4.58333,0,-9.80716e-14
0,2.91667,-4.16667,0,-1.04818e-13
0,2.91667,-3.75,0,-1.1328e-13
0,2.91667,-3.33333,0,-1.23435e-13
0,2.91667,-2.91667,0,-1.35078e-13
0,2.91667,-2.5,0,-1.47654e-13
0,2.91667,-2.08333,0,-1.60078e-13
0,2.91667,-1.66667,0,-1.70681e-13
